region;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;age;sex
Syrdarya region;25517;25673;24992;24549;24467;25306;26140;26733;26586;26722;28232;30292;3-5;male
Tashkent region;83990;85566;85327;82747;82402;83966;86499;87306;84892;82839;86423;92730;3-5;male
Fergana region;105208;105999;106245;105092;106075;110491;116436;118990;118287;119918;124683;134351;3-5;male
Khorezm region;55896;55962;55902;53906;54697;57190;59469;60004;58539;58944;60099;62626;3-5;male
Tashkent city;65467;65690;63569;60601;60960;63319;66107;69404;72754;75972;78539;83497;3-5;male
Republic of Karakalpakstan;32425;34703;36718;38919;38995;37186;37958;39203;39881;41360;40616;37769;6-7;male
Andijan region;48931;52816;60086;63634;63020;60556;59727;62789;66789;69435;69868;68225;6-7;male
Bukhara region;30923;32205;33595;34960;35769;34421;34032;35966;37736;39190;39162;37930;6-7;male
Jizzakh region;24397;25023;26868;27816;27504;26843;26713;27274;28687;31150;32212;31346;6-7;male
Kashkadarya region;53896;57157;62760;65505;65733;66475;69184;72078;74092;77341;78907;77126;6-7;male
Navoi region;16059;16893;17582;18019;18451;18594;18702;19322;20245;20789;21050;20994;6-7;male
Namangan region;43641;48402;54276;54565;53030;53002;52875;55059;60656;63755;63767;63059;6-7;male
Samarkand region;67336;70357;75637;79503;78284;78347;79173;81716;86087;89422;89247;88643;6-7;male
Surkhandarya region;43976;46059;50415;53214;52558;54113;56089;56407;58910;63861;65028;63896;6-7;male
Syrdarya region;14824;15980;16963;17235;17006;16423;16148;16514;17098;17699;17866;17609;6-7;male
Tashkent region;46570;50452;54241;57346;57824;55538;54394;54735;56581;56827;56438;53884;6-7;male
Fergana region;59185;65794;69942;69738;71740;70931;68765;71479;76135;78942;79835;78145;6-7;male
Khorezm region;31923;34741;36084;37530;38051;36054;35463;36830;39251;40127;39588;38497;6-7;male
Tashkent city;36583;39825;42992;45355;43924;41270;41397;42876;46241;49725;50948;50784;6-7;male
Republic of Karakalpakstan;130541;128622;129853;130716;132629;136692;139695;142367;145143;149011;152563;155385;8-15;male
Andijan region;192680;190218;188369;192366;201259;210457;217904;225206;231268;239355;249293;256113;8-15;male
Bukhara region;117603;116854;117531;119814;122432;125677;128327;130591;132626;135950;139732;143251;8-15;male
Jizzakh region;95106;94273;94760;95921;98217;100462;102414;104266;105571;106987;109746;112987;8-15;male
Kashkadarya region;226456;222469;221130;221904;225669;231137;236779;242510;249626;259370;270290;279795;8-15;male
Navoi region;60011;59720;60394;61643;63240;65107;67232;69281;70678;72679;74923;76487;8-15;male
Namangan region;176374;173467;172554;176977;183617;189311;193480;198952;202994;210215;220106;225674;8-15;male
Samarkand region;256592;252210;256440;259578;269436;277606;285327;293779;301189;310581;320077;329477;8-15;male
Surkhandarya region;181132;175212;174761;175681;179986;185551;189718;196585;202771;209419;217624;227045;8-15;male
