Bundesland;Stadt;Kreis / Landkreis;FreizügG/EU_m;FreizügG/EU_w; Niederlassungserlaubnis_m; Niederlassungserlaubnis_w;Befristete_AE_m;Befristete_AE_w;Ausbildung_m;Ausbildung_w;Erwerb_m;Erwerb_w;AE_human_m;AE_human_w;AE_family_m;AE_family_w;NVisa_m;NVisa_w;Antrag_m;Antrag_w;Duldung_m;Duldung_w;AEgestattung_m;AEgestattung_w;OhneAT_m;OhneAT_w
Hessen;Offenbach; Landkreis;0;0;10;15;10;10;0;0;5;0;0;0;5;10;0;0;0;5;0;0;0;0;0;0
Hessen;Rheingau-Taunus-Kreis;;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
Hessen;Wetteraukreis;;0;0;15;20;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;15;0
Hessen;Gießen; Landkreis;0;0;10;5;15;15;5;0;5;0;0;0;10;10;0;0;0;0;0;0;0;0;5;0
Hessen;Lahn-Dill-Kreis;;0;0;10;15;5;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
Hessen;Limburg-Weilburg; Landkreis;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hessen;Marburg-Biedenkopf; Landkreis;0;0;5;5;15;15;10;10;0;0;0;0;0;5;0;0;5;0;0;0;0;0;5;0
Hessen;Vogelsbergkreis;;0;0;5;5;5;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;5;0
Hessen;Kassel; kreisfreie Stadt;0;0;10;10;10;10;5;0;0;0;0;0;0;5;0;0;5;5;0;0;0;0;0;0
Hessen;Fulda; Landkreis;0;0;5;5;10;5;0;0;0;0;5;0;0;0;0;0;0;5;0;0;0;0;5;0
Hessen;Schwalm-Eder-Kreis;;0;0;5;0;5;5;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;5;0
Hessen;Waldeck-Frankenberg; Landkreis;0;0;5;10;5;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
Hessen;Werra-Meißner-Kreis;;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rheinland-Pfalz;Koblenz; kreisfreie Stadt;0;0;5;10;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rheinland-Pfalz;Ahrweiler; Landkreis;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rheinland-Pfalz;Altenkirchen (Westerwald); Landkreis;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rheinland-Pfalz;Bad Kreuznach; Landkreis;0;0;5;10;5;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;5;0
Rheinland-Pfalz;Mayen-Koblenz; Landkreis;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rheinland-Pfalz;Neuwied; Landkreis;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rheinland-Pfalz;Rhein-Hunsrück-Kreis;;0;0;5;0;5;5;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;5;5
Rheinland-Pfalz;Rhein-Lahn-Kreis;;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0
Rheinland-Pfalz;Westerwaldkreis;;0;0;5;5;0;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0
Rheinland-Pfalz;Trier; kreisfreie Stadt;0;0;10;5;10;5;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;0;0;0
Rheinland-Pfalz;Bernkastel-Wittlich; Landkreis;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rheinland-Pfalz;Eifelkreis Bitburg-Prüm;;0;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rheinland-Pfalz;Frankenthal (Pfalz); kreisfreie Stadt;0;0;0;0;0;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0
Rheinland-Pfalz;Kaiserslautern; kreisfreie Stadt;0;0;10;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rheinland-Pfalz;Ludwigshafen am Rhein; kreisfreie Stadt;0;0;5;5;5;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0
Rheinland-Pfalz;Mainz; kreisfreie Stadt;0;0;25;20;10;20;5;5;0;0;0;0;5;10;0;0;5;5;0;0;0;0;0;0
Rheinland-Pfalz;Pirmasens; kreisfreie Stadt;0;0;0;0;0;5;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
Rheinland-Pfalz;Speyer; kreisfreie Stadt;0;0;5;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rheinland-Pfalz;Worms; kreisfreie Stadt;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rheinland-Pfalz;Zweibrücken; kreisfreie Stadt;0;0;0;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rheinland-Pfalz;Alzey-Worms; Landkreis;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0
Rheinland-Pfalz;Bad Dürkheim; Landkreis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0
Rheinland-Pfalz;Germersheim; Landkreis;0;0;0;5;0;5;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0
Rheinland-Pfalz;Kaiserslautern; Landkreis;0;0;0;0;5;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rheinland-Pfalz;Kusel; Landkreis;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rheinland-Pfalz;Mainz-Bingen; Landkreis;0;0;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Baden-Württemberg;Stuttgart; kreisfreie Stadt;0;0;15;30;15;15;5;5;10;0;0;0;5;10;0;0;10;15;0;0;0;0;5;0
Baden-Württemberg;Böblingen; Landkreis;0;0;5;10;15;25;0;0;0;0;10;10;5;10;0;0;5;0;0;0;0;0;0;0
Baden-Württemberg;Esslingen; Landkreis;0;5;5;10;5;10;0;5;0;0;0;0;0;5;0;0;5;0;0;0;0;0;5;0
Baden-Württemberg;Göppingen; Landkreis;0;0;5;5;5;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;5;0
Baden-Württemberg;Ludwigsburg; Landkreis;0;5;5;10;10;15;0;0;5;0;5;0;5;10;0;0;5;0;0;0;0;0;5;5
Baden-Württemberg;Rems-Murr-Kreis;;0;0;10;20;15;10;5;5;5;0;5;0;5;10;0;0;0;5;0;0;0;0;5;0
Baden-Württemberg;Heilbronn; kreisfreie Stadt;0;0;5;10;10;5;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;5;0
Baden-Württemberg;Heilbronn; Landkreis;0;0;5;5;5;5;0;0;5;0;0;0;0;5;0;0;0;5;0;0;0;0;0;0
